Unnamed: 0,Date,Score,Normalized_Score
179,2016-09-02,10,0.005679667
180,2016-09-09,10,0.005679667
181,2016-09-16,10,0.005679667
182,2016-09-23,10,0.005679667
183,2016-09-30,10,0.005679667
184,2016-10-07,10,0.005679667
185,2016-10-14,10,0.005679667
186,2016-10-21,10,0.005679667
187,2016-10-28,10,0.005679667
188,2016-11-04,10,0.005679667
189,2016-11-11,10,0.005679667
190,2016-11-18,19.6,0.014767134
191,2016-11-25,10,0.005679667
192,2016-12-02,15.6,0.010980689
193,2016-12-09,10,0.005679667
194,2016-12-16,14.4,0.009844756
195,2016-12-23,10,0.005679667
196,2016-12-30,10,0.005679667
197,2017-01-06,28.8,0.023475956
198,2017-01-13,34,0.028398334
199,2017-01-20,10,0.005679667
200,2017-01-27,26.4,0.021204089
201,2017-02-03,85.2,0.076864824
202,2017-02-10,49.2,0.042786823
203,2017-02-17,28.8,0.023475956
204,2017-02-24,18.8,0.014009845
205,2017-03-03,6.4,0.002271867
206,2017-03-10,29.2,0.023854601
207,2017-03-17,14.4,0.009844756
208,2017-03-24,12.8,0.008330178
209,2017-03-31,21.6,0.016660356
210,2017-04-07,27.6,0.022340023
211,2017-04-14,5.6,0.001514578
212,2017-04-21,5.6,0.001514578
213,2017-04-28,42,0.035971223
214,2017-05-05,12,0.007572889
215,2017-05-12,10,0.005679667
216,2017-05-19,112.8,0.102991291
217,2017-05-26,19.2,0.014388489
218,2017-06-02,12.8,0.008330178
219,2017-06-09,14.4,0.009844756
220,2017-06-16,13.2,0.008708822
221,2017-06-23,13.2,0.008708822
222,2017-06-30,15.6,0.010980689
223,2017-07-07,5.6,0.001514578
224,2017-07-14,10,0.005679667
225,2017-07-21,20.4,0.015524423
226,2017-07-28,10,0.005679667
227,2017-08-04,66,0.05868989
228,2017-08-11,90,0.081408557
229,2017-08-18,32.4,0.026883756
230,2017-08-25,26.4,0.021204089
231,2017-09-01,15.6,0.010980689
232,2017-09-08,12.8,0.008330178
233,2017-09-15,17.6,0.012873911
234,2017-09-22,18.4,0.0136312
235,2017-09-29,7.2,0.003029156
236,2017-10-06,14.4,0.009844756
237,2017-10-13,16.8,0.012116622
238,2017-10-20,21.6,0.016660356
239,2017-10-27,7.2,0.003029156
240,2017-11-03,73.2,0.06550549
241,2017-11-10,7.2,0.003029156
242,2017-11-17,4.8,0.000757289
243,2017-11-24,41.6,0.035592579
244,2017-12-01,11.2,0.0068156
245,2017-12-08,10,0.005679667
246,2017-12-15,10,0.005679667
247,2017-12-22,10,0.005679667
248,2017-12-29,10,0.005679667
249,2018-01-05,14.4,0.009844756
250,2018-01-12,13.2,0.008708822
251,2018-01-19,25.2,0.020068156
252,2018-01-26,16.8,0.012116622
253,2018-02-02,14.4,0.009844756
254,2018-02-09,10,0.005679667
255,2018-02-16,6.4,0.002271867
256,2018-02-23,13.2,0.008708822
257,2018-03-02,12.8,0.008330178
258,2018-03-09,50.4,0.043922757
259,2018-03-16,7.2,0.003029156
260,2018-03-23,25.6,0.0204468
261,2018-03-30,50.4,0.043922757
262,2018-04-06,27.6,0.022340023
263,2018-04-13,28.8,0.023475956
264,2018-04-20,28.8,0.023475956
265,2018-04-27,24.8,0.019689512
266,2018-05-04,10,0.005679667
267,2018-05-11,15.6,0.010980689
268,2018-05-18,58.8,0.05187429
