·¯½Ã¾Æ_ÀüÀï¹×ºÐÀï_Date,·¯½Ã¾Æ_ÀüÀï¹×ºÐÀï_impact_score,·¯½Ã¾Æ_ÀüÀï¹×ºÐÀï_pos_frequency,·¯½Ã¾Æ_ÀüÀï¹×ºÐÀï_neg_frequency,·¯½Ã¾Æ_ÀüÀï¹×ºÐÀï_zero_frequency,·¯½Ã¾Æ_ÀüÀï¹×ºÐÀï_sentiment
2020-04-10 00:00:00,19.0,7,1,3,1
2020-04-17 00:00:00,11.0,6,1,3,1
2020-04-24 00:00:00,-3.0,2,4,0,-1
2020-05-01 00:00:00,9.0,4,2,1,1
2020-05-08 00:00:00,19.0,6,0,2,1
2020-05-15 00:00:00,29.0,9,2,1,1
2020-05-22 00:00:00,15.0,5,0,1,1
2020-05-29 00:00:00,43.0,9,1,0,1
2020-06-05 00:00:00,44.0,11,0,1,1
2020-06-12 00:00:00,14.0,5,3,0,1
2020-06-19 00:00:00,16.0,5,3,1,1
2020-06-26 00:00:00,-4.0,5,2,2,-1
2020-07-03 00:00:00,13.0,5,3,1,1
2020-07-10 00:00:00,9.0,4,3,1,1
2020-07-17 00:00:00,33.0,9,2,0,1
2020-07-24 00:00:00,26.0,9,0,1,1
2020-07-31 00:00:00,18.0,11,9,1,1
2020-08-07 00:00:00,4.0,6,5,1,1
2020-08-14 00:00:00,35.0,6,1,1,1
2020-08-21 00:00:00,43.0,8,1,1,1
2020-08-28 00:00:00,59.0,16,2,0,1
2020-09-04 00:00:00,15.0,7,3,2,1
2020-09-11 00:00:00,0.0,7,5,0,0
2020-09-18 00:00:00,24.0,7,1,3,1
2020-09-25 00:00:00,60.0,11,0,1,1
2020-10-02 00:00:00,69.0,19,1,0,1
2020-10-09 00:00:00,58.0,13,0,0,1
2020-10-16 00:00:00,35.0,9,0,0,1
2020-10-23 00:00:00,58.0,13,2,1,1
2020-10-30 00:00:00,65.0,13,0,0,1
2020-11-06 00:00:00,24.0,6,0,0,1
2020-11-13 00:00:00,50.0,15,4,1,1
2020-11-20 00:00:00,31.0,6,0,0,1
2020-11-27 00:00:00,-2.0,4,3,3,-1
2020-12-04 00:00:00,35.0,9,2,3,1
2020-12-11 00:00:00,31.0,8,1,1,1
2020-12-18 00:00:00,36.0,9,4,3,1
2020-12-25 00:00:00,15.0,6,2,0,1
2021-01-01 00:00:00,1.0,2,1,1,1
2021-01-08 00:00:00,23.0,4,1,2,1
2021-01-15 00:00:00,17.0,6,3,3,1
2021-01-22 00:00:00,35.0,11,0,0,1
2021-01-29 00:00:00,268.0,47,0,5,1
2021-02-05 00:00:00,88.0,24,9,3,1
2021-02-12 00:00:00,40.0,8,2,2,1
2021-02-19 00:00:00,36.0,10,1,1,1
2021-02-26 00:00:00,-11.0,6,6,2,-1
2021-03-05 00:00:00,14.0,3,3,0,1
2021-03-12 00:00:00,5.0,4,4,2,1
2021-03-19 00:00:00,8.0,4,3,3,1
2021-03-26 00:00:00,17.0,4,1,1,1
2021-04-02 00:00:00,89.0,13,1,0,1
2021-04-09 00:00:00,230.0,31,0,0,1
2021-04-16 00:00:00,366.0,46,3,2,1
2021-04-23 00:00:00,159.0,30,10,0,1
2021-04-30 00:00:00,60.0,10,3,0,1
2021-05-07 00:00:00,37.0,8,1,1,1
2021-05-14 00:00:00,84.0,17,3,0,1
2021-05-21 00:00:00,38.0,8,1,0,1
2021-05-28 00:00:00,43.0,6,0,1,1
2021-06-04 00:00:00,31.0,7,2,0,1
2021-06-11 00:00:00,21.0,6,3,2,1
2021-06-18 00:00:00,59.0,12,0,0,1
2021-06-25 00:00:00,63.0,13,2,0,1
2021-07-02 00:00:00,48.0,8,0,0,1
2021-07-09 00:00:00,64.0,13,0,1,1
2021-07-16 00:00:00,24.0,5,1,0,1
2021-07-23 00:00:00,31.0,9,2,1,1
2021-07-30 00:00:00,33.0,8,2,1,1
2021-08-06 00:00:00,14.0,6,1,1,1
2021-08-13 00:00:00,35.0,9,3,3,1
2021-08-20 00:00:00,56.0,10,0,0,1
2021-08-27 00:00:00,35.0,10,0,0,1
2021-09-03 00:00:00,17.0,7,2,1,1
2021-09-10 00:00:00,91.0,15,0,1,1
2021-09-17 00:00:00,63.0,10,0,0,1
2021-09-24 00:00:00,47.0,10,1,2,1
2021-10-01 00:00:00,11.0,3,0,2,1
2021-10-08 00:00:00,26.0,8,0,2,1
2021-10-15 00:00:00,22.0,4,0,0,1
2021-10-22 00:00:00,47.0,10,1,0,1
2021-10-29 00:00:00,44.0,9,0,2,1
2021-11-05 00:00:00,21.0,3,0,0,1
2021-11-12 00:00:00,0.0,0,0,0,0
2021-11-19 00:00:00,0.0,0,0,0,0
2021-11-26 00:00:00,0.0,0,0,0,0
2021-12-03 00:00:00,0.0,0,0,0,0
2021-12-10 00:00:00,0.0,0,0,0,0
2021-12-17 00:00:00,0.0,0,0,0,0
2021-12-24 00:00:00,0.0,0,0,0,0
2021-12-31 00:00:00,0.0,0,0,0,0
2022-01-07 00:00:00,37.0,8,0,0,1
2022-01-14 00:00:00,343.0,50,0,1,1
2022-01-21 00:00:00,479.0,78,6,0,1
2022-01-28 00:00:00,965.0,149,4,9,1
2022-02-04 00:00:00,853.0,134,5,0,1
2022-02-11 00:00:00,670.0,105,6,5,1
2022-02-18 00:00:00,1013.0,161,14,2,1
2022-02-25 00:00:00,1081.0,132,9,4,1
2022-03-04 00:00:00,1193.0,187,12,15,1
2022-03-11 00:00:00,667.0,130,29,10,1
2022-03-18 00:00:00,665.0,121,22,6,1
2022-03-25 00:00:00,659.0,121,15,3,1
2022-04-01 00:00:00,322.0,67,14,2,1
2022-04-08 00:00:00,767.0,151,22,9,1
2022-04-15 00:00:00,765.0,150,25,4,1
2022-04-22 00:00:00,778.0,130,14,7,1
2022-04-29 00:00:00,862.0,154,15,4,1
2022-05-06 00:00:00,628.0,131,19,7,1
2022-05-13 00:00:00,389.0,77,7,6,1
2022-05-20 00:00:00,418.0,108,28,9,1
2022-05-27 00:00:00,704.0,142,24,9,1
2022-06-03 00:00:00,790.0,147,20,7,1
2022-06-10 00:00:00,419.0,102,25,8,1
2022-06-17 00:00:00,549.0,112,19,3,1
2022-06-24 00:00:00,474.0,82,7,4,1
