topic,count,mean,std,keywords,summary
-1,31,1.2580645161290323,2.954857491605801,,Noise / 기타
0,34,5.323529411764706,3.649164190193081,"the, to, nickel, on, of, supply, in, prices, russia, score",the to nickel on of
1,27,0.9259259259259259,2.0367003088692623,"the, nickel, to, supply, or, on, norilsk, prices, in, impact",the nickel to supply or
2,16,6.125,2.7778888866667555,"the, sanctions, to, of, nickel, supply, prices, and, as, on",the sanctions to of nickel
3,11,0.09090909090909091,1.4459976109624424,"the, nickel, to, on, and, supply, immediate, not, concerns, in",the nickel to on and
4,7,3.5714285714285716,1.9880595947760098,"the, in, nickel, sanctions, potanin, as, uncertainty, of, market, not",the in nickel sanctions potanin
