Date,소비지_재해_중국_impact_score_sum,소비지_재해_중국_impact_score_mean,소비지_재해_중국_pos_frequency,소비지_재해_중국_neg_frequency,소비지_재해_중국_sentiment
2018.1.5 0:00,0,0,0,0,0
2018.1.12 0:00,0,0,0,0,0
2018.1.19 0:00,17,5.666666667,3,0,1
2018.1.26 0:00,0,0,0,0,0
2018.2.2 0:00,5,5,1,0,1
2018.2.9 0:00,0,0,0,0,0
2018.2.16 0:00,0,0,0,0,0
2018.2.23 0:00,0,0,0,0,0
2018.3.2 0:00,-5,-5,0,1,-1
2018.3.9 0:00,0,0,0,0,0
2018.3.16 0:00,-8,-4,0,2,-1
2018.3.23 0:00,-11,-5.5,0,2,-1
2018.3.30 0:00,-5,-5,0,1,-1
2018.4.6 0:00,-10,-5,0,2,-1
2018.4.13 0:00,0,0,0,0,0
2018.4.20 0:00,0,0,0,0,0
2018.4.27 0:00,0,0,0,0,0
2018.5.4 0:00,0,0,1,1,0
2018.5.11 0:00,5,5,1,0,1
2018.5.18 0:00,0,0,0,0,0
2018.5.25 0:00,6,6,1,0,1
2018.6.1 0:00,-5,-5,0,1,-1
2018.6.8 0:00,0,0,0,0,0
2018.6.15 0:00,3,1.5,1,1,1
2018.6.22 0:00,-3,-3,0,1,-1
2018.6.29 0:00,0,0,0,0,0
2018.7.6 0:00,-3,-3,0,1,-1
2018.7.13 0:00,-3,-0.6,2,3,-1
2018.7.20 0:00,0,0,0,0,0
2018.7.27 0:00,-9,-4.5,0,2,-1
2018.8.3 0:00,0,0,0,0,0
2018.8.10 0:00,1,1,1,0,1
2018.8.17 0:00,0,0,0,0,0
2018.8.24 0:00,-5,-5,0,1,-1
2018.8.31 0:00,0,0,0,0,0
2018.9.7 0:00,-3,-3,0,1,-1
2018.9.14 0:00,-12,-4,0,3,-1
2018.9.21 0:00,-18,-3.6,0,5,-1
2018.9.28 0:00,-10,-10,0,1,-1
2018.10.5 0:00,0,0,0,0,0
2018.10.12 0:00,0,0,0,0,0
2018.10.19 0:00,-5,-5,0,1,-1
2018.10.26 0:00,0,0,0,0,0
2018.11.2 0:00,0,0,1,1,0
2018.11.9 0:00,3,1.5,2,0,1
2018.11.16 0:00,-2,-2,0,1,-1
2018.11.23 0:00,0,0,0,0,0
2018.11.30 0:00,-5,-5,0,1,-1
2018.12.7 0:00,0,0,0,0,0
2018.12.14 0:00,5,5,1,0,1
2018.12.21 0:00,0,0,0,0,0
2018.12.28 0:00,0,0,0,0,0
2019.1.4 0:00,0,0,0,0,0
2019.1.11 0:00,-10,-5,0,2,-1
2019.1.18 0:00,0,0,0,0,0
2019.1.25 0:00,0,0,0,0,0
2019.2.1 0:00,-2,-2,0,1,-1
2019.2.8 0:00,10,10,1,0,1
2019.2.15 0:00,0,0,0,0,0
2019.2.22 0:00,0,0,0,0,0
2019.3.1 0:00,1,1,1,0,1
2019.3.8 0:00,-8,-2.666666667,0,3,-1
2019.3.15 0:00,-5,-5,0,1,-1
2019.3.22 0:00,1,0.5,1,1,1
2019.3.29 0:00,-11,-3.666666667,0,3,-1
2019.4.5 0:00,-8,-4,0,2,-1
2019.4.12 0:00,1,0.5,1,1,1
2019.4.19 0:00,-4,-1.333333333,1,2,-1
2019.4.26 0:00,-3,-3,0,1,-1
2019.5.3 0:00,0,0,0,0,0
2019.5.10 0:00,0,0,0,0,0
2019.5.17 0:00,10,2.5,3,1,1
2019.5.24 0:00,0,0,0,0,0
