Date,생산지_전쟁및분쟁_러시아_impact_score_sum,생산지_전쟁및분쟁_러시아_impact_score_mean,생산지_전쟁및분쟁_러시아_pos_frequency,생산지_전쟁및분쟁_러시아_neg_frequency,생산지_전쟁및분쟁_러시아_sentiment
2020.6.5 0:00,44,4,11,0,1
2020.6.12 0:00,14,1.75,5,3,1
2020.6.19 0:00,16,2,5,3,1
2020.6.26 0:00,-4,-0.571428571,5,2,-1
2020.7.3 0:00,13,1.625,5,3,1
2020.7.10 0:00,9,1.285714286,4,3,1
2020.7.17 0:00,33,3,9,2,1
2020.7.24 0:00,26,2.888888889,9,0,1
2020.7.31 0:00,18,0.9,11,9,1
2020.8.7 0:00,4,0.363636364,6,5,1
2020.8.14 0:00,35,5,6,1,1
2020.8.21 0:00,43,4.777777778,8,1,1
2020.8.28 0:00,59,3.277777778,16,2,1
2020.9.4 0:00,15,1.5,7,3,1
2020.9.11 0:00,0,0,7,5,0
2020.9.18 0:00,24,3,7,1,1
2020.9.25 0:00,60,5.454545455,11,0,1
2020.10.2 0:00,69,3.45,19,1,1
2020.10.9 0:00,58,4.461538462,13,0,1
2020.10.16 0:00,35,3.888888889,9,0,1
2020.10.23 0:00,58,3.866666667,13,2,1
2020.10.30 0:00,65,5,13,0,1
2020.11.6 0:00,24,4,6,0,1
2020.11.13 0:00,50,2.631578947,15,4,1
2020.11.20 0:00,31,5.166666667,6,0,1
2020.11.27 0:00,-2,-0.285714286,4,3,-1
2020.12.4 0:00,35,3.181818182,9,2,1
2020.12.11 0:00,31,3.444444444,8,1,1
2020.12.18 0:00,36,2.769230769,9,4,1
2020.12.25 0:00,15,1.875,6,2,1
2021.1.1 0:00,1,0.333333333,2,1,1
2021.1.8 0:00,23,4.6,4,1,1
2021.1.15 0:00,17,1.888888889,6,3,1
2021.1.22 0:00,35,3.181818182,11,0,1
2021.1.29 0:00,268,5.70212766,47,0,1
2021.2.5 0:00,88,2.666666667,24,9,1
2021.2.12 0:00,40,4,8,2,1
2021.2.19 0:00,36,3.272727273,10,1,1
2021.2.26 0:00,-11,-0.916666667,6,6,-1
2021.3.5 0:00,14,2.333333333,3,3,1
2021.3.12 0:00,5,0.625,4,4,1
2021.3.19 0:00,8,1.142857143,4,3,1
2021.3.26 0:00,17,3.4,4,1,1
2021.4.2 0:00,89,6.357142857,13,1,1
2021.4.9 0:00,230,7.419354839,31,0,1
2021.4.16 0:00,366,7.469387755,46,3,1
2021.4.23 0:00,159,3.975,30,10,1
2021.4.30 0:00,60,4.615384615,10,3,1
2021.5.7 0:00,37,4.111111111,8,1,1
2021.5.14 0:00,84,4.2,17,3,1
2021.5.21 0:00,38,4.222222222,8,1,1
2021.5.28 0:00,43,7.166666667,6,0,1
2021.6.4 0:00,31,3.444444444,7,2,1
2021.6.11 0:00,21,2.333333333,6,3,1
2021.6.18 0:00,59,4.916666667,12,0,1
2021.6.25 0:00,63,4.2,13,2,1
2021.7.2 0:00,48,6,8,0,1
2021.7.9 0:00,64,4.923076923,13,0,1
2021.7.16 0:00,24,4,5,1,1
2021.7.23 0:00,31,2.818181818,9,2,1
2021.7.30 0:00,33,3.3,8,2,1
2021.8.6 0:00,14,2,6,1,1
2021.8.13 0:00,35,2.916666667,9,3,1
2021.8.20 0:00,56,5.6,10,0,1
2021.8.27 0:00,35,3.5,10,0,1
2021.9.3 0:00,17,1.888888889,7,2,1
2021.9.10 0:00,91,6.066666667,15,0,1
2021.9.17 0:00,63,6.3,10,0,1
2021.9.24 0:00,47,4.272727273,10,1,1
2021.10.1 0:00,11,3.666666667,3,0,1
2021.10.8 0:00,26,3.25,8,0,1
2021.10.15 0:00,22,5.5,4,0,1
2021.10.22 0:00,47,4.272727273,10,1,1
2021.10.29 0:00,44,4.888888889,9,0,1
2021.11.5 0:00,21,7,3,0,1
2021.11.12 0:00,0,0,0,0,0
2021.11.19 0:00,0,0,0,0,0
2021.11.26 0:00,0,0,0,0,0
2021.12.3 0:00,0,0,0,0,0
2021.12.10 0:00,0,0,0,0,0
2021.12.17 0:00,0,0,0,0,0
2021.12.24 0:00,0,0,0,0,0
2021.12.31 0:00,0,0,0,0,0
