Date,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹_impact_score_sum,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__impact_score_mean,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__pos_frequency,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__neg_frequency,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__zero_frequency,¼ÒºñÁö_ÀüÀï¹×ºÐÀï_¹Ì±¹__sentiment
2020.1.31 0:00,-5,-0.833333333,0,1,5,-1
2020.2.7 0:00,-7,-0.875,0,2,6,-1
2020.2.14 0:00,0,0,0,0,10,0
2020.2.21 0:00,5,0.555555556,1,0,8,1
2020.2.28 0:00,12,1.333333333,3,0,6,1
2020.3.6 0:00,-10,-1.25,0,3,5,-1
2020.3.13 0:00,0,0,0,0,7,0
2020.3.20 0:00,-24,-2.181818182,0,5,6,-1
2020.3.27 0:00,-4,-0.333333333,3,3,6,-1
2020.4.3 0:00,0,0,0,0,9,0
2020.4.10 0:00,-1,-0.111111111,2,1,6,-1
2020.4.17 0:00,-3,-0.333333333,0,1,8,-1
2020.4.24 0:00,0,0,0,0,2,0
2020.5.1 0:00,-3,-0.375,0,1,7,-1
2020.5.8 0:00,7,0.583333333,2,1,9,1
2020.5.15 0:00,5,0.5,1,0,9,1
2020.5.22 0:00,17,1.7,4,0,6,1
2020.5.29 0:00,-8,-0.888888889,1,2,6,-1
2020.6.5 0:00,17,0.68,3,1,21,1
2020.6.12 0:00,5,0.625,1,0,7,1
2020.6.19 0:00,4,0.666666667,2,0,4,1
2020.6.26 0:00,23,1.916666667,4,1,7,1
2020.7.3 0:00,13,1.444444444,3,0,6,1
2020.7.10 0:00,20,2,3,0,7,1
2020.7.17 0:00,-8,-1.142857143,0,2,5,-1
2020.7.24 0:00,3,0.272727273,2,1,8,1
2020.7.31 0:00,1,0.071428571,4,3,7,1
2020.8.7 0:00,12,1,3,3,6,1
2020.8.14 0:00,21,1.166666667,5,0,13,1
2020.8.21 0:00,0,0,0,0,6,0
2020.8.28 0:00,-2,-0.222222222,0,1,8,-1
2020.9.4 0:00,-3,-0.2,1,2,12,-1
2020.9.11 0:00,10,1.25,2,0,6,1
2020.9.18 0:00,0,0,0,0,10,0
2020.9.25 0:00,3,0.3,1,1,8,1
2020.10.2 0:00,7,0.636363636,1,1,9,1
2020.10.9 0:00,0,0,1,1,3,0
2020.10.16 0:00,-3,-0.3,0,1,9,-1
2020.10.23 0:00,10,0.909090909,1,0,10,1
2020.10.30 0:00,14,1.75,2,0,6,1
2020.11.6 0:00,5,0.454545455,1,1,9,1
2020.11.13 0:00,0,0,0,0,7,0
2020.11.20 0:00,10,1.111111111,2,0,7,1
2020.11.27 0:00,0,0,0,0,4,0
2020.12.4 0:00,-5,-0.714285714,0,1,6,-1
2020.12.11 0:00,0,0,0,0,12,0
2020.12.18 0:00,-3,-0.214285714,1,2,11,-1
2020.12.25 0:00,5,1,1,0,4,1
2021.1.1 0:00,-2,-0.222222222,0,1,8,-1
2021.1.8 0:00,0,0,0,0,29,0
2021.1.15 0:00,0,0,0,0,25,0
2021.1.22 0:00,0,0,0,0,16,0
2021.1.29 0:00,0,0,0,0,9,0
2021.2.5 0:00,5,0.625,1,0,7,1
2021.2.12 0:00,20,2,4,0,6,1
2021.2.19 0:00,8,0.666666667,1,1,10,1
2021.2.26 0:00,0,0,1,3,4,0
2021.3.5 0:00,-5,-0.294117647,1,2,14,-1
2021.3.12 0:00,10,1,2,0,8,1
