topic,count,mean,std
1,122,3.541,3.517
18,9,1.667,2.500
17,10,1.600,3.373
0,1166,1.279,3.046
16,11,1.182,2.089
-1,606,1.117,3.011
22,8,1.000,1.927
23,6,0.833,2.041
10,18,0.722,1.708
11,17,0.588,1.417
3,31,0.581,2.321
5,25,0.520,3.043
9,18,0.444,1.886
13,16,0.438,1.315
7,18,0.389,1.650
2,44,0.341,1.275
6,20,0.250,1.118
12,16,0.188,3.449
4,29,0.000,0.000
8,18,0.000,0.000
14,15,0.000,0.000
20,9,0.000,0.000
21,8,0.000,0.000
19,9,-0.222,2.587
15,14,-0.500,1.401
